Nombre,Marca,Categorias,Precio Original,Precio Final,Moneda,Estado,Descripcion,Fecha de captura
LINDT LINDOR bombones de chocolate con leche relleno cremoso estuche 200 g,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Chocolates y bombones,Bombones",5.35,4.99,EUR,AVAILABLE,,2020-04-11
LINDT DULCES DESEOS bombones surtidos estuche 600 g,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Chocolates y bombones,Bombones",18.15,16.95,EUR,AVAILABLE,,2020-04-11
LINDT DULCES DESEOS bombones surtidos estuche 345 g,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Chocolates y bombones,Bombones",9.95,8.99,EUR,AVAILABLE,,2020-04-11
LINDT CHAMPS ELYSEES bombones surtidos estuche 469 g,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Chocolates y bombones,Bombones",12.79,11.99,EUR,AVAILABLE,,2020-04-11
MERCI surtido de bombones estuche 400 g,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Chocolates y bombones,Bombones",7.95,6.49,EUR,AVAILABLE,,2020-04-11
MERCI bombones surtidos estuche 250 g,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Chocolates y bombones,Bombones",4.35,3.99,EUR,AVAILABLE,,2020-04-11
GUYLIAN huevo de chocolate con leche de Pascua con 6 bombones Frutos del Mar belgas estuche 135 g,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Chocolates y bombones,Bombones",3.99,1.99,EUR,AVAILABLE,,2020-04-11
GUYLIAN Celebraciones bombones artesanales belgas 3 unidades estuche 33 g,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Chocolates y bombones,Bombones",1.35,1.20,EUR,AVAILABLE,,2020-04-11
GUYLIAN Trufflina de Luxe trufas de chocolate belga con láminas de chocolate con leche estuche 180 g,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Chocolates y bombones,Bombones",4.55,4.10,EUR,AVAILABLE,,2020-04-11
GUYLIAN Opus bombones belgas estuche 180 g,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Chocolates y bombones,Bombones",4.55,4.10,EUR,AVAILABLE,,2020-04-11
GUYLIAN bombones Frutos de Mar estuche 500,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Chocolates y bombones,Bombones",14.05,12.99,EUR,AVAILABLE,,2020-04-11
GUYLIAN bombones Frutos de Mar estuche 250 g,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Chocolates y bombones,Bombones",5.19,4.75,EUR,AVAILABLE,,2020-04-11
GUYLIAN bombones frutos de mar estuche 125,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Chocolates y bombones,Bombones",4.29,4.10,EUR,AVAILABLE,,2020-04-11
GUYLIAN bombones belgas Classics estuche 430 g,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Chocolates y bombones,Bombones",15.95,12.99,EUR,AVAILABLE,,2020-04-11
HELLO KITTY bombones lata 100 g modelos surtidos,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Chocolates y bombones,Bombones",6.85,3.89,EUR,AVAILABLE,,2020-04-11
PEANUTS Snoopy pralinés en lata con forma de corazón con diseños surtidos lata 100 g,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Chocolates y bombones,Bombones",5.89,3.89,EUR,AVAILABLE,,2020-04-11
COLACAO Original estuche 5 kg,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Cacaos y cereales solubles,Cacao soluble / instantáneo",24.15,19.95,EUR,AVAILABLE,,2020-04-11
"COLACAO Original formato ahorro bolsa 1,2 kg",,"Desayunos Dulces y pan,Desayunos, dulces y pan,Cacaos y cereales solubles,Cacao soluble / instantáneo",6.95,6.95,EUR,AVAILABLE,2ª unidad al 50% de descuento,2020-04-11
NESTLE NESQUIK cacao instantáneo sin gluten estuche 5 kg,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Cacaos y cereales solubles,Cacao soluble / instantáneo",19.95,19.95,EUR,AVAILABLE,,2020-04-11
L'OR ESPRESSO Origins Collection café Colombia Andes estuche 10 cápsulas compatibles con máquinas Nespresso,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Cafés,Café en monodosis",3.59,3.59,EUR,AVAILABLE,2ª unidad al 50% de descuento,2020-04-11
L'OR ESPRESSO Origins Collection café de Guatemala Huehuetenango estuche 10 cápsulas compatibles con máquinas Nespresso,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Cafés,Café en monodosis",3.39,3.39,EUR,AVAILABLE,2ª unidad al 50% de descuento,2020-04-11
L'OR ESPRESSO Origins Collection café de Indonesia Sumatra estuche 10 cápsulas compatibles con máquinas Nespresso,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Cafés,Café en monodosis",3.39,3.39,EUR,AVAILABLE,2ª unidad al 50% de descuento,2020-04-11
L'OR ESPRESSO Origins Collection café de Papúa Nueva Guinea Highlands estuche 10 cápsulas compatibles con máquinas Nespresso,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Cafés,Café en monodosis",3.49,3.49,EUR,AVAILABLE,2ª unidad al 50% de descuento,2020-04-11
L'OR ESPRESSO Origins Collection café Karnataka India estuche 10 cápsulas compatibles con máquinas Nespresso,,"Desayunos Dulces y pan,Desayunos, dulces y pan,Cafés,Café en monodosis",3.49,3.49,EUR,AVAILABLE,2ª unidad al 50% de descuento,2020-04-11
